SVGファイル名(.svg)/ボタン表示,,trousers,belt,bestbutton,jacket_lining,jacket,,neck,collar,foldedcollar,foldedcollarlace_nom_6,foldedcollarlace_roundend_6,2stripe_FCL_6,foldedcollarlace_circle_6,foldedcollarlace_diamond,foldedcollarlace_jigzag,2stripe_FCL_jigzag,foldedcollarlace_leaf,2stripe_FCL_leaf,foldedcollarlace_var_6,foldedcollarlace_rev_6,foldedcollarlace_7,foldedcollarlace_9,2stripe_FCL_9,foldedcollarlace_11,2stripe_FCL_11,tassel_6,tassel_7,com_FC_border,jigzagstripe_com_FC_border,foldedcollar_border,foldedcollar_border_wave,3jigzag_stripe_FC_border,lace_blw_chest,2stripe_lace_blw_chest,diamondlace_blw_chest,circlelace_blw_chest,roundendlace_blw_chest,jigzagstripe_roundendlace_blw_chest,2stripe_roundendlace_blw_chest,leaflace_blw_chest,2stripe_leaflace_blw_chest,edge_lace_blw_chest,center_lace_blw_chest,tassel_below_chest,tassel2_below_chest,tassel3_below_chest,button_FC_nom_6,button_FC_var_6,button_FC_7,button_FC_3x3,button_FC_9,button_FC_11,button_blw_chest,P_cuffs,P_cuffs2,P_cuffs_lace2,2stripe_P_cuffs_lace2,P_cuffs_circlelace,jigzagstripe_P_cuffs_circlelace,edge_P_cuffs_lace2,center_P_cuffs_lace2,P_jigzagcuffs_lace,2stripe_P_jigzagcuffs_lace,P_cuffs_diamondlace,P_cuffs_leaflace,2stripe_P_cuffs_leaflace,P_cuffs_lace3,P_cuffs_tassel,P_cuffs_tassel2,P_cuffs_tassel3,P_cuffs_border,stripe_P_cuffs_border,edgejigzagstripe_P_cuffs_border,3jigzagstripe_P_cuffs_border,P_cuffs_border_wave,P_cufflinks_border,stripe_P_cufflinks_border,edgejigzagstripe_P_cufflinks_border,3jigzagstripe_P_cufflinks_border,P_cufflinks_border_wave,P_cuffs_button2,P_cuffs_button3,S_cuffs,S_cuffs_lace,S_cuffs_tassel,S_cuffs_button,gaiters,button_gaiters,shoes,hat,hat_lace1,hat_lace2,hat_ribbon,hat_belt,button_hat_15,button_hat,pompom1,pompom1_2,pompom_dot,pompom_cross1,pompom_cross2,pompom_2_3,pompom_1_3,pompom_3_4,pompom_2_4,pompom_1_4,pompom,shirt,text_sansen,text_with_Fritz
第11連隊,face.png,#f8fbf8,#f8fbf8,#ffd900,#a9463c,#192f60,hands.png,#bf1e33,ー,ー,ー,―,―,―,#f8fbf8,―,―,―,―,ー,ー,ー,ー,―,ー,―,ー,ー,―,―,ー,―,―,ー,―,#f8fbf8,―,―,―,―,―,―,―,―,ー,―,―,#ffd900,ー,ー,ー,ー,ー,#ffd900,#bf1e33,ー,―,―,―,―,―,―,―,―,#f8fbf8,―,―,ー,ー,―,―,―,―,―,―,#f8fbf8,ー,―,―,―,#f8fbf8,#ffd900,ー,ー,ー,ー,ー,#1a1a1a,#ffd900,#1a1a1a,#1a1a1a,#f8fbf8,ー,―,―,―,#ffd900,#bf1e33,―,―,―,―,―,―,―,―,―,#000000,#fbfaf5,コトゥーズィッツ、ホーエンフリートベルク、グロスーイェーゲルスドルフ、ツォルンドルフ,
第12連隊,face.png,#ece093,#f8fbf8,#ffd900,#a9463c,#192f60,hands.png,#bf1e33,#bf1e33,#bf1e33,#f8fbf8,―,―,―,―,―,―,―,―,ー,ー,ー,ー,―,ー,―,#f8fbf8,ー,―,―,ー,―,―,#f8fbf8,―,―,―,―,―,―,―,―,―,―,ー,―,―,#ffd900,―,―,―,―,―,#ffd900,#bf1e33,ー,#f8fbf8,―,―,―,―,―,―,―,―,―,―,―,#f8fbf8,―,―,―,―,―,―,―,ー,―,―,―,―,#ffd900,ー,ー,ー,ー,ー,#1a1a1a,#ffd900,#1a1a1a,#1a1a1a,#f8fbf8,ー,―,―,―,#ffd900,#bf1e33,#0000ff,―,―,―,―,―,―,―,―,#000000,#fbfaf5,モルヴィッツ、ホーエンフリートベルク、プラハ、クーネルスドルフ、ブルケルスドルフ,
第13連隊,face.png,#ecd8b5,#f8fbf8,#f8fbf8,#a9463c,#192f60,hands.png,#bf1e33,#ecd8b5,#ecd8b5,ー,―,―,―,―,―,―,―,―,ー,ー,ー,ー,―,ー,―,―,ー,―,―,ー,―,―,#f8fbf8,―,―,―,―,―,―,―,―,―,―,#f8fbf8,―,―,#f8fbf8,―,―,―,―,―,#f8fbf8,#ecd8b5,ー,#f8fbf8,―,―,―,―,―,―,―,―,―,―,ー,#f8fbf8,―,―,ー,―,―,―,―,ー,―,―,―,―,#f8fbf8,ー,ー,ー,ー,ー,#1a1a1a,#f8fbf8,#1a1a1a,#1a1a1a,#f8fbf8,ー,―,―,―,#f8fbf8,#ffd900,―,―,―,―,―,―,―,―,―,#000000,#fbfaf5,モルヴィッツ、ホーエンフリートベルク、ロボズィッツ、ロスバッハ、ロイテン、ホッホキルヒ、リーグニッツ、トルガウ、ブルケルスドルフ,
第14連隊,face.png,#f8fbf8,#f8fbf8,#ffd900,#a9463c,#192f60,hands.png,#bf1e33,ー,#bf1e33,ー,―,―,―,―,#f8fbf8,#bf1e33,―,―,ー,ー,ー,ー,―,ー,―,ー,ー,―,―,ー,―,―,ー,―,―,―,―,―,―,―,―,―,―,ー,―,―,#ffd900,ー,ー,―,―,ー,#ffd900,#bf1e33,ー,―,―,―,―,―,―,#f8fbf8,#bf1e33,―,―,―,ー,ー,―,―,ー,―,―,―,―,ー,―,―,―,―,#ffd900,ー,ー,ー,ー,ー,#1a1a1a,#ffd900,#1a1a1a,#1a1a1a,#f8fbf8,ー,―,―,―,#ffd900,#bf1e33,―,―,―,―,―,―,―,―,―,#000000,#fbfaf5,コトゥーズィッツ、ホーエンフリートベルク、ゾール、グロスーイェーゲルスドルフ、ツォルンドルフ、クーネルスドルフ,
第15連隊,face.png,#fff352,#f8fbf8,#f8fbf8,#a9463c,#192f60,hands.png,#1a1a1a,#d3381c,ー,ー,―,―,―,―,―,―,―,―,ー,ー,#e5e4e2,ー,―,―,―,―,#e5e4e2,―,―,ー,―,―,#e5e4e2,―,―,―,―,―,―,―,―,―,―,#e5e4e2,―,―,ー,ー,#f8fbf8,―,―,ー,#f8fbf8,ー,ー,ー,―,―,―,―,―,―,―,―,―,―,ー,ー,―,―,ー,―,―,―,―,ー,―,―,―,―,―,ー,#d3381c,#e5e4e2,#e5e4e2,#f8fbf8,#f8fbf8,#f8fbf8,#1a1a1a,#1a1a1a,ー,#e5e4e2,#1a1a1a,#e5e4e2,#f8fbf8,―,ー,―,―,―,―,―,―,―,―,―,―,#fbfaf5,モルヴィッツ、コーリン（第一大隊）,余が王太子の頃からシェフを務める近衛連隊である
第16連隊,face.png,#ece093,#f8fbf8,#ffd900,#a9463c,#192f60,hands.png,#bf1e33,ー,#a63629,ー,―,―,―,―,―,―,―,―,ー,ー,ー,ー,―,ー,―,ー,ー,―,―,ー,―,―,#f8fbf8,―,―,―,―,―,―,―,―,#bf1e33,#1a1a1a,#f8fbf8,#bf1e33,#1a1a1a,―,―,―,#ffd900,―,―,#ffd900,#a63629,ー,#f8fbf8,―,―,―,#bf1e33,#1a1a1a,―,―,―,―,―,ー,#f8fbf8,#bf1e33,#1a1a1a,ー,―,―,―,―,ー,―,―,―,―,#ffd900,ー,ー,ー,ー,ー,#1a1a1a,#ffd900,#1a1a1a,#1a1a1a,#f8fbf8,ー,―,―,―,#ffd900,#f8fbf8,―,―,―,―,#1a1a1a,#bf1e33,―,―,―,#000000,#fbfaf5,コトゥーズィッツ、グロスーイェーゲルスドルフ、ツォルンドルフ、カイ、クーネルスドルフ、トルガウ、ブルケルスドルフ,
第17連隊,face.png,#f8fbf8,#f8fbf8,#ffd900,#a9463c,#192f60,hands.png,#bf1e33,#f8fbf8,#f8fbf8,ー,―,―,―,―,―,―,#f8fbf8,#bf1e33,ー,ー,ー,ー,―,ー,―,#f8fbf8,ー,―,―,ー,―,―,―,―,―,―,―,―,―,#f8fbf8,#bf1e33,―,―,ー,―,―,#ffd900,ー,ー,ー,ー,ー,#ffd900,#f8fbf8,ー,―,―,―,―,―,―,―,―,―,#f8fbf8,#bf1e33,ー,ー,―,―,ー,―,―,―,―,ー,―,―,―,―,#ffd900,ー,ー,ー,ー,ー,#1a1a1a,#ffd900,#1a1a1a,#1a1a1a,#f8fbf8,ー,―,―,―,#ffd900,#016e47,―,―,―,―,#bf1e33,#f8fbf8,―,―,―,#000000,#fbfaf5,コトゥーズィッツ、ホーエンフリートベルク、ゾール、ロボズィッツ、プラハ、コーリン、トルガウ,
第18連隊,face.png,#f8fbf8,#f8fbf8,#f8fbf8,#a9463c,#192f60,hands.png,#1a1a1a,#f19ca7,#f19ca7,#f8fbf8,―,―,―,―,―,―,―,―,ー,ー,ー,ー,―,ー,―,#f8fbf8,ー,―,―,ー,―,―,ー,―,―,―,―,―,―,―,―,―,―,ー,―,―,#f8fbf8,ー,ー,ー,ー,ー,#f8fbf8,#f19ca7,ー,#f8fbf8,―,―,―,―,―,―,―,―,―,―,ー,#f8fbf8,―,―,ー,―,―,―,―,ー,―,―,―,―,#f8fbf8,ー,ー,ー,ー,ー,#1a1a1a,#f8fbf8,#1a1a1a,#1a1a1a,#f8fbf8,ー,―,―,―,#f8fbf8,#f8fbf8,―,―,―,―,#bf1e33,#016e47,―,―,―,#000000,#fbfaf5,プラハ、ロイテン、ツォルンドルフ、ホッホキルヒ、リーグニッツ、トルガウ、ブルケルスドルフ,弟アウグスト・ヴィルヘルムが指揮する連隊である
第19連隊,face.png,#ece093,#f8fbf8,#ffd900,#a9463c,#192f60,hands.png,#bf1e33,#bf1e33,ー,#f8fbf8,―,―,―,―,―,―,―,―,ー,ー,ー,ー,―,ー,―,#f8fbf8,ー,―,―,ー,―,―,#f8fbf8,―,―,―,―,―,―,―,―,―,―,#f8fbf8,―,―,#ffd900,ー,ー,ー,ー,ー,#ffd900,#bf1e33,ー,#f8fbf8,―,―,―,―,―,―,―,―,―,―,ー,#f8fbf8,―,―,ー,―,―,―,―,ー,―,―,―,―,#ffd900,ー,ー,ー,ー,ー,#1a1a1a,#ffd900,#1a1a1a,#1a1a1a,#f8fbf8,ー,―,―,―,#ffd900,#f8fbf8,#ed6d35,―,―,―,―,―,―,―,―,#000000,#fbfaf5,モルヴィッツ、ホーエンフリートベルク、ゾール、プラハ、ロスバッハ、ロイテン、ホッホキルヒ、クーネルスドルフ、トルガウ,
第20連隊,face.png,#f8fbf8,#f8fbf8,#ffd900,#a9463c,#192f60,hands.png,#bf1e33,ー,#bf1e33,ー,―,―,―,―,―,―,―,―,ー,ー,ー,ー,―,ー,―,ー,ー,―,―,#f8fbf8,―,#0000ff,ー,―,―,―,―,―,―,―,―,―,―,ー,―,―,#ffd900,ー,ー,ー,ー,ー,#ffd900,#bf1e33,ー,ー,―,―,―,―,―,―,―,―,―,―,ー,ー,―,―,#f8fbf8,―,―,#0000ff,―,#f8fbf8,―,―,#0000ff,―,#ffd900,ー,ー,ー,ー,ー,#1a1a1a,#ffd900,#1a1a1a,#1a1a1a,#f8fbf8,ー,―,―,―,#ffd900,#bf1e33,―,―,#016e47,#f8fbf8,―,―,―,―,―,#000000,#fbfaf5,ホーエンフリートベルク、ロボズィッツ、コーリン、ホッホキルヒ、トルガウ,
第21連隊,face.png,#ece093,#f8fbf8,#ffd900,#a9463c,#192f60,hands.png,#bf1e33,#bf1e33,―,ー,―,―,―,―,―,―,―,―,ー,ー,ー,#f8fbf8,#bf1e33,ー,―,ー,ー,―,―,ー,―,―,#f8fbf8,#bf1e33,―,―,―,―,―,―,―,―,―,ー,―,―,ー,ー,ー,ー,#ffd900,ー,#ffd900,#bf1e33,ー,#f8fbf8,#bf1e33,―,―,―,―,―,―,―,―,―,ー,ー,―,―,#f8fbf8,#bf1e33,―,―,―,#f8fbf8,#bf1e33,―,―,―,#ffd900,ー,ー,ー,ー,ー,#1a1a1a,#ffd900,#1a1a1a,#1a1a1a,#f8fbf8,ー,―,―,―,#ffd900,#bf1e33,―,―,―,―,―,―,#1a1a1a,#f8fbf8,#1a1a1a,#000000,#fbfaf5,ホーエンフリートベルク、ロボズィッツ、コーリン、ロスバッハ、クーネルスドルフ、トルガウ,
第22連隊,face.png,#ece093,#f8fbf8,#ffd900,#a9463c,#192f60,hands.png,#bf1e33,ー,#bf1e33,ー,―,―,―,―,―,―,―,―,ー,ー,ー,ー,―,ー,―,ー,ー,―,―,ー,―,―,#f8fbf8,#bf1e33,―,―,―,―,―,―,―,―,―,ー,―,―,#ffd900,ー,ー,ー,ー,ー,#ffd900,#bf1e33,ー,#f8fbf8,#bf1e33,―,―,―,―,―,―,―,―,―,ー,ー,―,―,#f8fbf8,#bf1e33,―,―,―,ー,―,―,―,―,#ffd900,ー,ー,ー,ー,ー,#1a1a1a,#ffd900,#1a1a1a,#1a1a1a,#f8fbf8,ー,―,―,―,#ffd900,#f8fbf8,#bf1e33,#0000ff,―,―,―,―,―,―,―,#000000,#fbfaf5,モルヴィッツ、ホーエンフリートベルク、コーリン、ツォルンドルフ、トルガウ、ブルケルスドルフ,
第23連隊,face.png,#f8fbf8,#f8fbf8,#f8fbf8,#a9463c,#192f60,hands.png,#bf1e33,ー,ー,ー,―,―,#f8fbf8,―,―,―,―,―,ー,ー,ー,ー,―,ー,―,ー,ー,―,―,ー,―,―,―,―,―,#f8fbf8,―,―,―,―,―,―,―,ー,―,―,#f8fbf8,ー,ー,ー,ー,ー,#f8fbf8,#d3381c,ー,―,―,#f8fbf8,―,―,―,―,―,―,―,―,ー,ー,―,―,ー,―,―,―,―,ー,―,―,―,―,#f8fbf8,ー,ー,ー,ー,ー,#1a1a1a,#f8fbf8,#1a1a1a,#1a1a1a,#f8fbf8,ー,―,―,―,#f8fbf8,#f8fbf8,#bf1e33,#f8fbf8,―,―,―,―,―,―,―,#000000,#fbfaf5,モルヴィッツ、ホーエンフリートベルク、ゾール、プラハ、ロスバッハ、ロイテン、ツォルンドルフ、ホッホキルヒ、リーグニッツ、トルガウ,
第24連隊,face.png,#f8fbf8,#f8fbf8,#ffd900,#a9463c,#192f60,hands.png,#bf1e33,ー,#bf1e33,ー,―,―,―,―,―,―,―,―,ー,ー,ー,ー,―,ー,―,ー,ー,#f8fbf8,#bf1e33,ー,―,―,―,―,―,―,#f8fbf8,#bf1e33,―,―,―,―,―,ー,―,―,#ffd900,ー,ー,ー,ー,ー,#ffd900,#bf1e33,ー,―,―,#f8fbf8,#bf1e33,―,―,―,―,―,―,―,ー,ー,―,―,#f8fbf8,―,#bf1e33,―,―,#f8fbf8,―,#bf1e33,―,―,#ffd900,ー,ー,ー,ー,ー,#1a1a1a,#ffd900,#1a1a1a,#1a1a1a,#f8fbf8,ー,―,―,―,#ffd900,#ffd900,―,―,―,―,―,―,#1a1a1a,#f8fbf8,#bf1e33,#000000,#fbfaf5,モルヴィッツ、コトゥーズィッツ、ホーエンフリートベルク、プラハ、ロスバッハ、カイ、クーネルスドルフ、リーグニッツ、トルガウ,
第25連隊,face.png,#f8fbf8,#f8fbf8,#ffd900,#a9463c,#192f60,hands.png,#bf1e33,ー,#bf1e33,#f8fbf8,―,#0000ff,―,―,―,―,―,―,ー,ー,ー,ー,―,ー,―,#f8fbf8,ー,―,―,ー,―,―,#f8fbf8,#0000ff,―,―,―,―,―,―,―,―,―,#f8fbf8,―,―,#ffd900,ー,ー,ー,ー,ー,#ffd900,#bf1e33,ー,#f8fbf8,#0000ff,―,―,―,―,―,―,―,―,―,ー,#f8fbf8,―,―,ー,―,―,―,―,ー,―,―,―,―,#ffd900,ー,ー,ー,ー,ー,#1a1a1a,#ffd900,#1a1a1a,#1a1a1a,#f8fbf8,ー,―,―,―,#ffd900,#ffd900,#bf1e33,―,―,―,―,―,―,―,―,#000000,#fbfaf5,モルヴィッツ、ホーエンフリートベルク、ゾール、コーリン、ロイテン、ツォルンドルフ、トルガウ、ブルケルスドルフ,
第26連隊,face.png,#f8fbf8,#f8fbf8,#ffd900,#a9463c,#192f60,hands.png,#bf1e33,ー,ー,#ffd900,―,―,―,―,―,―,―,―,ー,ー,ー,ー,―,ー,―,ー,ー,―,―,ー,―,―,#ffd900,―,―,―,―,―,―,―,―,―,―,ー,―,―,#ffd900,ー,ー,ー,ー,ー,#ffd900,#bf1e33,ー,#ffd900,―,―,―,―,―,―,―,―,―,―,ー,ー,―,―,ー,―,―,―,―,ー,―,―,―,―,#ffd900,ー,ー,ー,ー,ー,#1a1a1a,#ffd900,#1a1a1a,#1a1a1a,#f8fbf8,ー,―,―,―,#ffd900,#f8fbf8,#bf1e33,―,―,―,―,―,―,―,―,#000000,#fbfaf5,モルヴィッツ、プラハ、ロスバッハ、ロイテン、ホッホキルヒ、リーグニッツ、トルガウ,
